Year,AnnualStats,TotalMovies,AverageProductionBudget,CombinedWorldwideBox Office,No. 1 Movie
TBD,,1699,,,
2027,,1,,,
2026,,1,,,
2025,,1,,,
2024,,1,,,
2023,,3,,,
2022,,26,,,
2021,,49,,,
2020,,113,"$153,000,000",,
2019,Annual Stats,2043,"$53,661,186","$14,969,695,262",Avengers: Endgame
2018,Annual Stats,3842,"$47,789,931","$38,125,486,669",Avengers: Infinity War
2017,Annual Stats,3568,"$52,312,753","$37,723,236,783",Star Wars Ep. VIII: The Last Jedi
2016,Annual Stats,3422,"$42,152,146","$36,757,424,305",Captain America: Civil War
2015,Annual Stats,3078,"$26,613,521","$35,942,093,139",Star Wars Ep. VII: The Force Awakens
2014,Annual Stats,1592,"$30,234,058","$29,937,033,891",Transformers: Age of Extinction
2013,Annual Stats,1406,"$38,216,552","$29,694,148,982",Frozen
2012,Annual Stats,1502,"$34,122,423","$31,550,117,022",The Avengers
2011,Annual Stats,1287,"$35,739,129","$27,419,814,391",Harry Potter and the Deathly Hallows: Part II
2010,Annual Stats,1259,"$33,408,109","$25,386,428,377",Toy Story 3
2009,Annual Stats,1205,"$35,753,130","$26,103,768,341",Avatar
2008,Annual Stats,1110,"$31,733,132","$23,981,927,086",The Dark Knight
2007,Annual Stats,1037,"$33,130,321","$23,256,086,607",Pirates of the Caribbean: At Worldâs End
2006,Annual Stats,834,"$28,927,293","$20,058,147,832",Pirates of the Caribbean: Dead Manâs Chest
2005,Annual Stats,621,"$33,575,087","$18,324,067,790",Harry Potter and the Goblet of Fire
2004,Annual Stats,601,"$35,209,188","$19,089,919,042",Shrek 2
2003,Annual Stats,531,"$32,124,594","$17,687,711,529",The Lord of the Rings: The Return of the King
2002,Annual Stats,497,"$31,214,465","$17,014,110,276",The Lord of the Rings: The Two Towers
2001,Annual Stats,495,"$32,534,641","$15,038,223,252",Harry Potter and the Sorcererâs Stone
2000,Annual Stats,533,"$31,167,926","$13,324,906,142",Mission: Impossible 2
1999,Annual Stats,484,"$30,010,033","$13,515,873,776",Star Wars Ep. I: The Phantom Menace
1998,Annual Stats,409,"$30,016,993","$11,619,222,975",Armageddon
1997,Annual Stats,358,"$40,298,903","$12,762,961,369",Titanic
1996,Annual Stats,322,"$31,575,708","$10,138,141,805",Independence Day
1995,Annual Stats,284,"$35,020,946","$9,865,104,195",Die Hard: With a Vengeance
1994,,254,"$29,368,895","$8,767,027,307",The Lion King
1993,,228,"$20,379,735","$7,919,753,081",Jurassic Park
1992,,208,"$25,363,889","$6,921,408,168",Aladdin
1991,,223,"$22,051,487","$6,349,415,462",Beauty and the Beast
1990,,223,"$26,244,333","$6,636,169,055",Ghost
1989,,212,"$18,995,000","$5,720,330,919",Indiana Jones and the Last Crusade
1988,,230,"$15,419,355","$4,756,207,210",Rain Man
1987,,235,"$14,015,714","$4,097,969,197",Fatal Attraction
1986,,232,"$15,020,455","$3,582,181,901",Top Gun
1985,,217,"$13,406,897","$3,801,358,895",Back to the Future
1984,,194,"$15,188,393","$3,871,627,001",Indiana Jones and the Temple of Doom
1983,,195,"$13,599,250","$3,236,079,759",Star Wars Ep. VI: Return of the Jedi
1982,,159,"$12,296,667","$3,503,837,389",ET: The Extra-Terrestrial
1981,,154,"$12,860,000","$2,763,853,132",Raiders of the Lost Ark
1980,,151,"$13,493,103","$2,877,827,935",Star Wars Ep. V: The Empire Strikes Back
1979,,122,"$14,142,778","$2,427,444,407",Moonraker
1978,,80,"$13,178,846","$2,240,642,159",Grease
1977,,73,"$10,880,000","$2,696,142,034",Star Wars Ep. IV: A New Hope
1976,,62,"$4,909,091","$1,144,487,401",Rocky
1975,,70,"$4,662,500","$1,227,346,988",Jaws
1974,,66,"$5,130,909","$1,224,657,311",Towering Inferno
1973,,60,"$4,401,754","$1,303,158,068",The Exorcist
1972,,51,"$2,616,000","$831,585,557",The Godfather
1971,,65,"$3,705,556","$640,567,033",Diamonds Are Forever
1970,,72,"$11,346,995","$745,368,673",Love Story
1969,,64,"$9,680,000","$653,688,186",Butch Cassidy and the Sundance Kid
1968,,69,"$4,735,111","$635,383,136",2001: A Space Odyssey
1967,,68,"$4,000,000","$929,635,356",The Jungle Book
1966,,58,"$4,796,300","$423,303,585",The Bible
1965,,50,"$9,633,333","$819,834,778",The Sound of Music
1964,,53,"$6,185,000","$554,710,793",Goldfinger
1963,,56,"$9,948,250","$506,848,491",Cleopatra
1962,,58,"$6,970,000","$295,891,595",Lawrence of Arabia
1961,,49,"$3,580,000","$464,181,098",101 Dalmatians
1960,,48,"$6,800,000","$250,751,541",Spartacus
1959,,39,"$6,595,962","$271,881,188",Ben-Hur
1958,,30,"$3,000,000","$142,801,129",South Pacific
1957,,40,"$2,780,000","$138,250,422",The Bridge on the River Kwai
1956,,46,"$4,274,000","$273,312,615",The Ten Commandments
1955,,36,"$1,388,500","$198,320,630",Lady and the Tramp
1954,,52,"$3,636,667","$235,327,133",White Christmas
1953,,39,"$2,128,000","$232,948,993",Peter Pan
1952,,26,"$2,423,333","$80,198,485",The Greatest Show on Earth
1951,,38,"$2,958,333","$112,588,246",Quo Vadis?
1950,,30,"$3,334,393","$320,279,772",Cinderella
1949,,33,"$1,300,000","$82,984,898",Samson and Delilah
1948,,38,"$3,350,000","$68,115,446",The Snake Pit
1947,,38,"$2,000,000","$87,473,938",Forever Amber
1946,,35,"$3,242,200","$243,866,812",Song of the South
1945,,32,"$1,636,667","$126,719,804",The Bells of St. Mary's
1944,,20,"$3,780,500","$38,224,606",Going My Way
1943,,25,"$1,833,000","$76,361,348",This is the Army
1942,,26,"$496,000","$322,105,954",Bambi
1941,,29,"$1,250,000","$34,972,365",Sergeant York
1940,,24,"$1,964,312","$189,678,403",Pinocchio
1939,,27,"$2,725,667","$436,200,089",Gone with the Wind
1938,,20,"$1,822,000","$13,945,659",You Can't Take It With You
1937,,26,"$1,488,000","$197,240,106",Snow White and the Seven Dwarfs
1936,,20,"$1,333,333","$16,593,249",How to Become a Detective
1935,,19,"$609,000","$3,202,000",Top Hat
1934,,16,"$325,000","$3,624,084",It Happened One Night
1933,,17,"$437,000","$14,281,650",King Kong
1932,,15,,"$8,973",The Old Dark House
1931,,20,"$558,000","$16,953,731",Frankenstein
1930,,17,"$4,000,000","$11,116,932",Tom Sawyer
1929,,20,"$379,000","$7,087,611",The Broadway Melody
1928,,9,,"$11,231,298",The Singing Fool
1927,,11,"$2,000,000","$4,229,216",The Jazz Singer
1926,,6,,"$3,002,993",Aloma of the South Seas
1925,,12,"$2,072,500","$31,051,198",The Big Parade
1924,,5,,"$18,835",Der mÃ¼de Tod
1923,,4,,"$3,800,000",The Covered Wagon
1922,,1,,,
1921,,4,,"$11,700,000",The Four Horsemen of the Apocalypse
1920,,4,"$100,000","$3,000,000",Over the Hill to the Poorhouse
1919,,1,,,
1916,,5,"$292,954","$8,000,000","20,000 Leagues Under the Sea"
1915,,3,"$110,000","$11,000,000",The Birth of a Nation
1902,,1,,"$45,353",Le Voyage dans la Lune
